Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_0603_1608Metric","C_0603_1608Metric",31.000000,-0.500000,0.000000,bottom
"C2","C_0603_1608Metric","C_0603_1608Metric",31.000000,-2.500000,0.000000,bottom
"C3","C_0402_1005Metric","C_0402_1005Metric",34.750000,7.500000,0.000000,bottom
"C4","C_0402_1005Metric","C_0402_1005Metric",16.000000,-1.000000,0.000000,bottom
"C5","C_0402_1005Metric","C_0402_1005Metric",34.750000,8.750000,0.000000,bottom
"C6","C_0603_1608Metric","C_0603_1608Metric",35.250000,3.500000,0.000000,bottom
"J1","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",19.200000,7.000000,0.000000,bottom
"J3","U.FL_Hirose_U.FL-R-SMT-1_Vertical","U.FL_Hirose_U.FL-R-SMT-1_Vertical",47.875000,0.000000,0.000000,bottom
"J4","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",28.700000,5.800000,0.000000,bottom
"J5","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",19.200000,-7.000000,0.000000,bottom
"J6","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",37.200000,-5.400000,0.000000,bottom
"Q1","SOT-23","SOT-23",36.000000,0.750000,0.000000,bottom
"Q2","SOT-23","SOT-23",43.500000,-4.500000,0.000000,bottom
"R1","R_0402_1005Metric","R_0402_1005Metric",43.500000,2.000000,0.000000,bottom
"R2","R_0402_1005Metric","R_0402_1005Metric",30.500000,-4.000000,0.000000,bottom
"R3","R_0402_1005Metric","R_0402_1005Metric",20.000000,-0.700000,90.000000,bottom
"R4","R_0402_1005Metric","R_0402_1005Metric",34.250000,-9.500000,0.000000,bottom
"R5","R_0402_1005Metric","R_0402_1005Metric",21.750000,-1.000000,0.000000,bottom
"R6","R_0402_1005Metric","R_0402_1005Metric",23.600000,-0.300000,90.000000,bottom
"R7","R_0402_1005Metric","R_0402_1005Metric",18.250000,-1.000000,0.000000,bottom
"R8","R_0402_1005Metric","R_0402_1005Metric",20.000000,1.000000,0.000000,bottom
"R9","R_0402_1005Metric","R_0402_1005Metric",34.750000,5.000000,0.000000,bottom
"R10","R_0402_1005Metric","R_0402_1005Metric",34.750000,6.250000,0.000000,bottom
"R11","R_0402_1005Metric","R_0402_1005Metric",17.750000,0.250000,0.000000,bottom
"SW1","SW-TH_MSK12C02","MSK-12C02",41.700000,5.403500,0.000000,bottom
"SW2","SW_SPST_TL3342","SW_SPST_TL3342",28.700000,-7.800000,0.000000,bottom
"U2","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",40.377500,0.000000,0.000000,bottom
"U4","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",26.942500,-2.250000,0.000000,bottom
"D1","D_SOD-123","D_SOD-123",41.022500,-6.750000,0.000000,top
"L1","L_0402_1005Metric","L_0402_1005Metric",49.400000,0.000000,0.000000,top
"Q3","SOT-23","SOT-23",36.250000,-7.250000,0.000000,top
"U1","Val**","XIAO-ESP32-S3-SMD",15.569500,-11.180200,0.000000,top
"U3","GPSM-SMD_ATGM336H-TR","ATGM336H-5N31",41.989300,0.000000,90.000000,top
